Strain,Well,Media,Plate,Compound,Max Resp,Max Resp Rate,AUC,ctrl_median,ctrl_std,Threshold,Activity,Description,KEGG ID,CAS ID,Description
BW25113,A01,IF0a-NaSuccinate-Fe Citrate,PM05,Negative Control,249.80767764662016,16.83240327884525,8786.084082678342,8786.084082678342,550.4986600692929,10439.063789827496,False,"Nutritional supplement, Negative control",,CAS Negative Control,"Nutritional supplement, Negative control"
BW25113,A02,IF0a-NaSuccinate-Fe Citrate,PM05,Positive Control,272.3988870849704,16.949658317306643,8947.773777178078,8786.084082678342,550.4986600692929,10439.063789827496,False,"Nutritional supplement, Positive control",,CAS Luria Broth,"Nutritional supplement, Positive control"
BW25113,A03,IF0a-NaSuccinate-Fe Citrate,PM05,L-Alanine,270.569053459785,15.418780480807913,9030.229776270164,8786.084082678342,550.4986600692929,10439.063789827496,False,Nutritional supplement,C00041,CAS 56-41-7,Nutritional supplement
BW25113,A04,IF0a-NaSuccinate-Fe Citrate,PM05,L-Arginine,272.35930969821425,14.869177557691415,8887.219485529533,8786.084082678342,550.4986600692929,10439.063789827496,False,Nutritional supplement,C00062,CAS 1119-34-2,Nutritional supplement
BW25113,A05,IF0a-NaSuccinate-Fe Citrate,PM05,L-Asparagine,272.5138133559628,16.027257182691386,8835.68015141677,8786.084082678342,550.4986600692929,10439.063789827496,False,Nutritional supplement,C00152,CAS 70-47-3,Nutritional supplement
BW25113,A06,IF0a-NaSuccinate-Fe Citrate,PM05,L-Aspartic acid,274.0119027752352,16.09887165384518,8863.470289874662,8786.084082678342,550.4986600692929,10439.063789827496,False,Nutritional supplement,C00049,CAS 3792-50-5,Nutritional supplement
BW25113,A07,IF0a-NaSuccinate-Fe Citrate,PM05,L-Cysteine,264.76585699839654,14.470079740383738,8092.052275248369,8786.084082678342,550.4986600692929,10439.063789827496,False,Nutritional supplement,C00097,CAS 7048-04-6,Nutritional supplement
BW25113,A08,IF0a-NaSuccinate-Fe Citrate,PM05,L-Glutamic acid,267.93405604838165,15.124877740383766,8660.64738752771,8786.084082678342,550.4986600692929,10439.063789827496,False,Nutritional supplement,C00025,CAS 6106-04-3,Nutritional supplement
BW25113,A09,IF0a-NaSuccinate-Fe Citrate,PM05,"Adenosine 3`,5`-Cyclic Monophosphate",267.80409806109185,15.094724144229858,8540.764189601628,8786.084082678342,550.4986600692929,10439.063789827496,False,Nutritional supplement,C00575,CAS 37839-81-9,Nutritional supplement
BW25113,A10,IF0a-NaSuccinate-Fe Citrate,PM05,Adenine,263.6230977728251,15.61422260064181,8709.502552630409,8786.084082678342,550.4986600692929,10439.063789827496,False,Nutritional supplement,C00147,CAS 6055-72-7,Nutritional supplement
