PlateIDs,Strain,Specie,Well,Plate,Media,Replicates,Compound,Description,KEGG ID,CAS ID,Max Resp,Max Resp Rate,Time till max resp rate,AUC,Growth,Control Well Growth_x,Control Well Growth_y
ECP0,BW25113wt,E. coli,A01,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Negative Control,"Nutritional supplement, Negative control",,CAS Negative Control,261.75381064421566,18.563138173075856,29.25,9175.345418247449,1,1,1
ECP0,BW25113wt,E. coli,A02,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Positive Control,"Nutritional supplement, Positive control",,CAS Luria Broth,264.67562565863847,16.49253807692196,39.5,8660.186452592912,1,1,1
ECP0,BW25113wt,E. coli,A03,PM05,IF0a-NaSuccinate-Fe Citrate,R1,L-Alanine,Nutritional supplement,C00041,CAS 56-41-7,267.9195777836383,14.981676673076095,34.25,8812.777955829673,1,1,1
ECP0,BW25113wt,E. coli,A04,PM05,IF0a-NaSuccinate-Fe Citrate,R1,L-Arginine,Nutritional supplement,C00062,CAS 1119-34-2,265.7914314180239,14.381232326922316,46.0,8562.571474662458,1,1,1
ECP0,BW25113wt,E. coli,A05,PM05,IF0a-NaSuccinate-Fe Citrate,R1,L-Asparagine,Nutritional supplement,C00152,CAS 70-47-3,272.5702081652863,16.529483423076044,48.0,8793.65198834442,1,1,1
ECP0,BW25113wt,E. coli,A06,PM05,IF0a-NaSuccinate-Fe Citrate,R1,L-Aspartic acid,Nutritional supplement,C00049,CAS 3792-50-5,272.3951165500329,15.95840098076826,45.0,8708.178873797202,1,1,1
ECP0,BW25113wt,E. coli,A07,PM05,IF0a-NaSuccinate-Fe Citrate,R1,L-Cysteine,Nutritional supplement,C00097,CAS 7048-04-6,261.03049177821333,13.876751019229971,45.25,7826.370232936168,1,1,1
ECP0,BW25113wt,E. coli,A08,PM05,IF0a-NaSuccinate-Fe Citrate,R1,L-Glutamic acid,Nutritional supplement,C00025,CAS 6106-04-3,266.42851323028833,14.545575730768462,46.0,8550.15809600024,1,1,1
ECP0,BW25113wt,E. coli,A09,PM05,IF0a-NaSuccinate-Fe Citrate,R1,"Adenosine 3`,5`-Cyclic Monophosphate",Nutritional supplement,C00575,CAS 37839-81-9,263.49002965007855,14.92302324999909,46.0,8345.603852062355,1,1,1
ECP0,BW25113wt,E. coli,A10,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Adenine,Nutritional supplement,C00147,CAS 6055-72-7,257.40113469008685,14.751385864421593,44.75,8404.291427386324,1,1,1
ECP0,BW25113wt,E. coli,A11,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Adenosine,Nutritional supplement,C00212,CAS 58-61-7,276.22757652255245,24.697851877217317,44.25,9814.339878032122,1,1,1
ECP0,BW25113wt,E. coli,A12,PM05,IF0a-NaSuccinate-Fe Citrate,R1,2`-Deoxyadenosine,Nutritional supplement,C00559,CAS 16373-93-6,272.04632794826585,19.376035024705743,44.5,9571.297313269053,1,1,1
