PlateIDs,Strain,Specie,Well,Plate,Media,Replicates,Compound,Description,KEGG ID,CAS ID,Max Resp,Max Resp Rate,Time till max resp rate,AUC
ECP0,BW25113,E. coli,A01,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Negative Control,"Nutritional supplement, Negative control",,CAS Negative Control,261.75381064421566,18.563138173075856,29.25,9175.345418247449
ECP1,BW25113,E. coli,A01,PM05,IF0a-NaSuccinate-Fe Citrate,R2,Negative Control,"Nutritional supplement, Negative control",,CAS Negative Control,237.8615446490247,15.10166838461464,26.0,8396.822747109238
ECP0,BW25113,E. coli,A02,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Positive Control,"Nutritional supplement, Positive control",,CAS Luria Broth,264.67562565863847,16.49253807692196,39.5,8660.186452592912
ECP1,BW25113,E. coli,A02,PM05,IF0a-NaSuccinate-Fe Citrate,R2,Positive Control,"Nutritional supplement, Positive control",,CAS Luria Broth,280.12214851130227,17.406778557691325,45.5,9235.361101763245
ECP0,BW25113,E. coli,A03,PM05,IF0a-NaSuccinate-Fe Citrate,R1,L-Alanine,Nutritional supplement,C00041,CAS 56-41-7,267.9195777836383,14.981676673076096,34.25,8812.777955829673
ECP1,BW25113,E. coli,A03,PM05,IF0a-NaSuccinate-Fe Citrate,R2,L-Alanine,Nutritional supplement,C00041,CAS 56-41-7,273.2185291359317,15.855884288539729,45.0,9247.681596710656
ECP0,BW25113,E. coli,A04,PM05,IF0a-NaSuccinate-Fe Citrate,R1,L-Arginine,Nutritional supplement,C00062,CAS 1119-34-2,265.7914314180239,14.381232326922316,46.0,8562.571474662458
ECP1,BW25113,E. coli,A04,PM05,IF0a-NaSuccinate-Fe Citrate,R2,L-Arginine,Nutritional supplement,C00062,CAS 1119-34-2,278.92718797840456,15.357122788460517,44.75,9211.867496396608
ECP0,BW25113,E. coli,A05,PM05,IF0a-NaSuccinate-Fe Citrate,R1,L-Asparagine,Nutritional supplement,C00152,CAS 70-47-3,272.5702081652863,16.529483423076044,48.0,8793.65198834442
ECP1,BW25113,E. coli,A05,PM05,IF0a-NaSuccinate-Fe Citrate,R2,L-Asparagine,Nutritional supplement,C00152,CAS 70-47-3,272.45741854663925,15.525030942306728,45.0,8877.708314489118
ECP0,BW25113,E. coli,A06,PM05,IF0a-NaSuccinate-Fe Citrate,R1,L-Aspartic acid,Nutritional supplement,C00049,CAS 3792-50-5,272.3951165500329,15.95840098076826,45.0,8708.178873797202
ECP1,BW25113,E. coli,A06,PM05,IF0a-NaSuccinate-Fe Citrate,R2,L-Aspartic acid,Nutritional supplement,C00049,CAS 3792-50-5,275.62868900043753,16.2393423269221,45.75,9018.76170595212
ECP0,BW25113,E. coli,A07,PM05,IF0a-NaSuccinate-Fe Citrate,R1,L-Cysteine,Nutritional supplement,C00097,CAS 7048-04-6,261.03049177821333,13.876751019229973,45.25,7826.370232936168
ECP1,BW25113,E. coli,A07,PM05,IF0a-NaSuccinate-Fe Citrate,R2,L-Cysteine,Nutritional supplement,C00097,CAS 7048-04-6,268.5012222185797,15.063408461537506,45.0,8357.734317560571
ECP0,BW25113,E. coli,A08,PM05,IF0a-NaSuccinate-Fe Citrate,R1,L-Glutamic acid,Nutritional supplement,C00025,CAS 6106-04-3,266.4285132302884,14.545575730768462,46.0,8550.15809600024
ECP1,BW25113,E. coli,A08,PM05,IF0a-NaSuccinate-Fe Citrate,R2,L-Glutamic acid,Nutritional supplement,C00025,CAS 6106-04-3,269.43959886647485,15.70417974999907,47.75,8771.13667905518
ECP0,BW25113,E. coli,A09,PM05,IF0a-NaSuccinate-Fe Citrate,R1,"Adenosine 3`,5`-Cyclic Monophosphate",Nutritional supplement,C00575,CAS 37839-81-9,263.4900296500785,14.92302324999909,46.0,8345.603852062355
ECP1,BW25113,E. coli,A09,PM05,IF0a-NaSuccinate-Fe Citrate,R2,"Adenosine 3`,5`-Cyclic Monophosphate",Nutritional supplement,C00575,CAS 37839-81-9,272.11816647210526,15.266425038460625,47.25,8735.924527140904
ECP0,BW25113,E. coli,A10,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Adenine,Nutritional supplement,C00147,CAS 6055-72-7,257.40113469008685,14.751385864421591,44.75,8404.291427386324
ECP1,BW25113,E. coli,A10,PM05,IF0a-NaSuccinate-Fe Citrate,R2,Adenine,Nutritional supplement,C00147,CAS 6055-72-7,269.84506085556336,16.477059336862027,46.25,9014.713677874495
ECP0,BW25113,E. coli,A11,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Adenosine,Nutritional supplement,C00212,CAS 58-61-7,276.22757652255245,24.69785187721732,44.25,9814.339878032122
ECP1,BW25113,E. coli,A11,PM05,IF0a-NaSuccinate-Fe Citrate,R2,Adenosine,Nutritional supplement,C00212,CAS 58-61-7,277.01107020374417,24.1660755094191,45.25,9945.62604059812
ECP0,BW25113,E. coli,A12,PM05,IF0a-NaSuccinate-Fe Citrate,R1,2`-Deoxyadenosine,Nutritional supplement,C00559,CAS 16373-93-6,272.04632794826585,19.376035024705743,44.5,9571.297313269051
ECP1,BW25113,E. coli,A12,PM05,IF0a-NaSuccinate-Fe Citrate,R2,2`-Deoxyadenosine,Nutritional supplement,C00559,CAS 16373-93-6,270.18630794858524,20.82730832810239,45.25,9760.30208960672
ECP0,BW25113,E. coli,B01,PM05,IF0a-NaSuccinate-Fe Citrate,R1,L-Glutamine,Nutritional supplement,C00064,CAS 56-85-9,269.4924007226161,17.147687480768468,48.0,9035.418825349368
ECP1,BW25113,E. coli,B01,PM05,IF0a-NaSuccinate-Fe Citrate,R2,L-Glutamine,Nutritional supplement,C00064,CAS 56-85-9,252.43547449654716,15.691556788460389,44.25,8696.681106507825
ECP0,BW25113,E. coli,B02,PM05,IF0a-NaSuccinate-Fe Citrate,R1,Glycine,Nutritional supplement,C00037,CAS 56-40-6,261.94951062682475,14.52294738664392,48.0,8224.840888917883
ECP1,BW25113,E. coli,B02,PM05,IF0a-NaSuccinate-Fe Citrate,R2,Glycine,Nutritional supplement,C00037,CAS 56-40-6,261.63871817466344,14.883074777890016,45.5,8327.324142074587
ECP0,BW25113,E. coli,B03,PM05,IF0a-NaSuccinate-Fe Citrate,R1,L-Histidine,Nutritional supplement,C00135,CAS 5934-29-2,249.59416206744675,10.75693928400034,48.0,7264.73366812844
ECP1,BW25113,E. coli,B03,PM05,IF0a-NaSuccinate-Fe Citrate,R2,L-Histidine,Nutritional supplement,C00135,CAS 5934-29-2,251.77863061931205,12.50994668674879,48.0,7627.582205615399
ECP0,BW25113,E. coli,B04,PM05,IF0a-NaSuccinate-Fe Citrate,R1,L-Isoleucine,Nutritional supplement,C00407,CAS 73-32-5,255.76753097646872,11.118915115384,45.5,7491.572261296392
ECP1,BW25113,E. coli,B04,PM05,IF0a-NaSuccinate-Fe Citrate,R2,L-Isoleucine,Nutritional supplement,C00407,CAS 73-32-5,257.97559042893664,10.314792749999356,46.75,7524.560680664838
ECP0,BW25113,E. coli,B05,PM05,IF0a-NaSuccinate-Fe Citrate,R1,L-Leucine,Nutritional supplement,C00123,CAS 61-90-5,264.99190305583704,11.613439153845604,46.0,7515.730439740559
ECP1,BW25113,E. coli,B05,PM05,IF0a-NaSuccinate-Fe Citrate,R2,L-Leucine,Nutritional supplement,C00123,CAS 61-90-5,259.2281159734899,10.757312865384108,46.75,7550.392731034979
ECP0,BW25113,E. coli,B06,PM05,IF0a-NaSuccinate-Fe Citrate,R1,L-Lysine,Nutritional supplement,C00047,CAS 657-27-2,264.5432881844105,11.753225769230056,48.0,7826.323317561349
ECP1,BW25113,E. coli,B06,PM05,IF0a-NaSuccinate-Fe Citrate,R2,L-Lysine,Nutritional supplement,C00047,CAS 657-27-2,259.4618265950654,12.046495488971305,48.0,7895.678620685001
ECP0,BW25113,E. coli,B07,PM05,IF0a-NaSuccinate-Fe Citrate,R1,L-Methionine,Nutritional supplement,C00073,CAS 63-68-3,251.78575559447177,12.981151850746867,46.0,7668.229236842287
