,Strain,Specie,Plate,Media,Replicates,Control Well Growth,PlateIDs
0,BW25113wt,E. coli,PM05,IF0a-NaSuccinate-Fe Citrate,R1,1,ECP0
96,BW25113wt,E. coli,PM05,IF0a-NaSuccinate-Fe Citrate,R2,1,ECP1
192,hisJ,E. coli,PM05,IF0a-NaSuccinate-Fe Citrate,R1,1,ECP2
288,hisJ,E. coli,PM05,IF0a-NaSuccinate-Fe Citrate,R2,1,ECP3
384,appY,E.coli,PM11C,IF10a,R1,0,ECP4
480,appY,E.coli,PM12B,IF10a,R1,0,ECP5
576,appY,E.coli,PM11C,IF10a,R2,0,ECP6
672,appY,E.coli,PM12B,IF10a,R2,0,ECP7
768,BW25113,E.coli,PM09,IF10a,R1,0,ECP8
864,BW25113,E.coli,PM10,IF10a,R1,0,ECP9
960,BW25113,E.coli,PM11C,IF10a,R1,0,ECP10
1056,BW25113,E.coli,PM12B,IF10a,R1,0,ECP11
1152,BW25113,E.coli,PM09,IF10a,R2,0,ECP12
1248,BW25113,E.coli,PM10,IF10a,R2,0,ECP13
1344,BW25113,E.coli,PM11C,IF10a,R2,0,ECP14
1440,BW25113,E.coli,PM12B,IF10a,R2,0,ECP15
1536,BW25113WT,E.coli,PM09,IF10a,R1,0,ECP16
1632,BW25113WT,E.coli,PM10,IF10a,R1,0,ECP17
1728,BW25113WT,E.coli,PM09,IF10a,R2,0,ECP18
1824,BW25113WT,E.coli,PM10,IF10a,R2,0,ECP19
1920,dedA,E.coli,PM09,IF10a,R1,0,ECP20
2016,dedA,E.coli,PM10,IF10a,R1,0,ECP21
2112,dedA,E.coli,PM09,IF10a,R2,0,ECP22
2208,dedA,E.coli,PM10,IF10a,R2,0,ECP23
2304,gnsB,E.coli,PM11C,IF10a,R1,0,ECP24
2400,gnsB,E.coli,PM12B,IF10a,R1,0,ECP25
2496,gnsB,E.coli,PM11C,IF10a,R2,0,ECP26
2592,gnsB,E.coli,PM12B,IF10a,R2,0,ECP27
2688,wbbK,E.coli,PM11C,IF10a,R1,0,ECP28
2784,wbbK,E.coli,PM12B,IF10a,R1,0,ECP29
2880,wbbK,E.coli,PM11C,IF10a,R2,0,ECP30
2976,wbbK,E.coli,PM12B,IF10a,R2,0,ECP31
3072,yahO,E.coli,PM09,IF10a,R1,0,ECP32
3168,yahO,E.coli,PM10,IF10a,R1,0,ECP33
3264,yahO,E.coli,PM11C,IF10a,R1,0,ECP34
3360,yahO,E.coli,PM09,IF10a,R2,0,ECP35
3456,yahO,E.coli,PM10,IF10a,R2,0,ECP36
3552,yahO,E.coli,PM11C,IF10a,R2,0,ECP37
3648,ycaC,E.coli,PM09,IF10a,R1,0,ECP38
3744,ycaC,E.coli,PM10,IF10a,R1,0,ECP39
3840,ycaC,E.coli,PM11C,IF10a,R1,0,ECP40
3936,ycaC,E.coli,PM09,IF10a,R2,0,ECP41
4032,ycaC,E.coli,PM10,IF10a,R2,0,ECP42
4128,ycaC,E.coli,PM11C,IF10a,R2,0,ECP43
4224,ydcD,E.coli,PM11C,IF10a,R1,0,ECP44
4320,ydcD,E.coli,PM12B,IF10a,R1,0,ECP45
4416,ydcD,E.coli,PM11C,IF10a,R2,0,ECP46
4512,ydcD,E.coli,PM12B,IF10a,R2,0,ECP47
4608,ydfR,E.coli,PM09,IF10a,R1,0,ECP48
4704,ydfR,E.coli,PM10,IF10a,R1,0,ECP49
4800,ydfR,E.coli,PM09,IF10a,R2,0,ECP50
4896,ydfR,E.coli,PM10,IF10a,R2,0,ECP51
4992,ydgD,E.coli,PM10,IF10a,R1,0,ECP52
5088,ydgD,E.coli,PM10,IF10a,R2,0,ECP53
5184,ydjM,E.coli,PM12B,IF10a,R1,0,ECP54
5280,ydjM,E.coli,PM12B,IF10a,R2,0,ECP55
5376,yebF,E.coli,PM12B,IF10a,R1,0,ECP56
5472,yebF,E.coli,PM12B,IF10a,R2,0,ECP57
5568,yebG,E.coli,PM12B,IF10a,R1,0,ECP58
5664,yebG,E.coli,PM12B,IF10a,R2,0,ECP59
5760,ygaM,E.coli,PM09,IF10a,R1,0,ECP60
5856,ygaM,E.coli,PM10,IF10a,R1,0,ECP61
5952,ygaM,E.coli,PM11C,IF10a,R1,0,ECP62
6048,ygaM,E.coli,PM09,IF10a,R2,0,ECP63
6144,ygaM,E.coli,PM10,IF10a,R2,0,ECP64
6240,ygaM,E.coli,PM11C,IF10a,R2,0,ECP65
6336,ygaY,E.coli,PM09,IF10a,R1,0,ECP66
6432,ygaY,E.coli,PM09,IF10a,R2,0,ECP67
6528,yiaG,E.coli,PM09,IF10a,R1,0,ECP68
6624,yiaG,E.coli,PM10,IF10a,R1,0,ECP69
6720,yiaG,E.coli,PM11C,IF10a,R1,0,ECP70
6816,yiaG,E.coli,PM09,IF10a,R2,0,ECP71
6912,yiaG,E.coli,PM10,IF10a,R2,0,ECP72
7008,yiaG,E.coli,PM11C,IF10a,R2,0,ECP73
7104,yjjU,E.coli,PM09,IF10a,R1,0,ECP74
7200,yjjU,E.coli,PM10,IF10a,R1,0,ECP75
7296,yjjU,E.coli,PM09,IF10a,R2,0,ECP76
7392,yjjU,E.coli,PM10,IF10a,R2,0,ECP77
7488,yjjV,E.coli,PM09,IF10a,R1,0,ECP78
7584,yjjV,E.coli,PM10,IF10a,R1,0,ECP79
7680,yjjV,E.coli,PM09,IF10a,R2,0,ECP80
7776,yjjV,E.coli,PM10,IF10a,R2,0,ECP81
7872,ynfN,E.coli,PM09,IF10a,R1,0,ECP82
7968,ynfN,E.coli,PM10,IF10a,R1,0,ECP83
8064,ynfN,E.coli,PM09,IF10a,R2,0,ECP84
8160,ynfN,E.coli,PM10,IF10a,R2,0,ECP85
8256,yodC,E.coli,PM09,IF10a,R1,0,ECP86
8352,yodC,E.coli,PM10,IF10a,R1,0,ECP87
8448,yodC,E.coli,PM09,IF10a,R2,0,ECP88
8544,yodC,E.coli,PM10,IF10a,R2,0,ECP89
8640,argF,E. coli,PM02A,M9 No Carbon,R1,0,ECP90
8736,argF,E. coli,PM02A,M9 No Carbon,R2,0,ECP91
8832,argH,E. coli,PM02A,M9 No Carbon,R1,0,ECP92
8928,argH,E. coli,PM02A,M9 No Carbon,R2,0,ECP93
9024,BW25113,E.Coli,PM01,M9 No Carbon,R1,0,ECP94
9120,BW25113,E.Coli,PM02A,M9 No Carbon,R1,0,ECP95
9216,BW25113,E.Coli,PM01,M9 No Carbon,R2,0,ECP96
9312,BW25113,E.Coli,PM02A,M9 No Carbon,R2,0,ECP97
9408,BW25113wt,E. coli,PM02A,M9 No Carbon,R1,0,ECP98
9504,BW25113wt,E. coli,PM02A,M9 No Carbon,R2,0,ECP99
9600,malE,E. coli,PM02A,M9 No Carbon,R1,0,ECP100
9696,malE,E. coli,PM02A,M9 No Carbon,R2,0,ECP101
